Region,Codigo region,Comuna,Codigo comuna,Poblacion,Semana Epidemiologica,Casos confirmados
Araucanía,9,Padre Las Casas,9112,82110.0,SE8,0.0
Araucanía,9,Perquenco,9113,7223.0,SE8,0.0
Araucanía,9,Pitrufquen,9114,26096.0,SE8,0.0
Araucanía,9,Pucon,9115,29782.0,SE8,0.0
Araucanía,9,Puren,9208,12188.0,SE8,0.0
Araucanía,9,Renaico,9209,10833.0,SE8,0.0
Araucanía,9,Saavedra,9116,12793.0,SE8,0.0
Araucanía,9,Temuco,9101,302931.0,SE8,0.0
Araucanía,9,Teodoro Schmidt,9117,15786.0,SE8,0.0
Araucanía,9,Tolten,9118,10055.0,SE8,0.0
Araucanía,9,Traiguen,9210,19314.0,SE8,0.0
Araucanía,9,Victoria,9211,35467.0,SE8,0.0
Araucanía,9,Vilcun,9119,30766.0,SE8,0.0
Araucanía,9,Villarrica,9120,59103.0,SE8,0.0
Araucanía,9,Desconocido Araucania,0,0.0,SE8,0.0
Arica y Parinacota,15,Arica,15101,247552.0,SE8,0.0
Arica y Parinacota,15,Camarones,15102,1233.0,SE8,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,SE8,0.0
Arica y Parinacota,15,Putre,15201,2515.0,SE8,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,0,0.0,SE8,0.0
Atacama,3,Alto del Carmen,3302,5729.0,SE8,0.0
Atacama,3,Caldera,3102,19426.0,SE8,0.0
Atacama,3,Chanaral,3201,13164.0,SE8,0.0
Atacama,3,Copiapo,3101,171766.0,SE8,0.0
Atacama,3,Diego de Almagro,3202,14358.0,SE8,0.0
Atacama,3,Freirina,3303,7681.0,SE8,0.0
Atacama,3,Huasco,3304,11264.0,SE8,0.0
Atacama,3,Tierra Amarilla,3103,14312.0,SE8,0.0
Atacama,3,Vallenar,3301,57009.0,SE8,0.0
Atacama,3,Desconocido Atacama,0,0.0,SE8,0.0
Aysén,11,Aysen,11201,25002.0,SE8,0.0
Aysén,11,Chile Chico,11401,5121.0,SE8,0.0
Aysén,11,Cisnes,11202,5828.0,SE8,0.0
Aysén,11,Cochrane,11301,3685.0,SE8,0.0
Aysén,11,Coyhaique,11101,61210.0,SE8,0.0
Aysén,11,Guaitecas,11203,1599.0,SE8,0.0
Aysén,11,Lago Verde,11102,920.0,SE8,0.0
Aysén,11,OHiggins,11302,661.0,SE8,0.0
Aysén,11,Rio Ibanez,11402,2699.0,SE8,0.0
Aysén,11,Tortel,11303,572.0,SE8,0.0
Aysén,11,Desconocido Aysen,0,0.0,SE8,0.0
Biobío,8,Alto Biobio,8314,6775.0,SE8,0.0
Biobío,8,Antuco,8302,4306.0,SE8,0.0
Biobío,8,Arauco,8202,38679.0,SE8,0.0
Biobío,8,Cabrero,8303,30725.0,SE8,0.0
Biobío,8,Canete,8203,37003.0,SE8,0.0
Biobío,8,Chiguayante,8103,91180.0,SE8,0.0
Biobío,8,Concepcion,8101,238092.0,SE8,0.0
Biobío,8,Contulmo,8204,6330.0,SE8,0.0
Biobío,8,Coronel,8102,125829.0,SE8,0.0
Biobío,8,Curanilahue,8205,33892.0,SE8,0.0
Biobío,8,Florida,8104,11841.0,SE8,0.0
Biobío,8,Hualpen,8112,97273.0,SE8,0.0
Biobío,8,Hualqui,8105,26201.0,SE8,0.0
Biobío,8,Laja,8304,23873.0,SE8,0.0
Biobío,8,Lebu,8201,27100.0,SE8,0.0
Biobío,8,Los Alamos,8206,22524.0,SE8,0.0
Biobío,8,Los Angeles,8301,218515.0,SE8,0.0
Biobío,8,Lota,8106,45750.0,SE8,0.0
Biobío,8,Mulchen,8305,31041.0,SE8,0.0
Biobío,8,Nacimiento,8306,27944.0,SE8,0.0
