Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos fallecidos
Los Lagos,10.0,Palena,10404.0,1827.0,2020-06-12,0.0
Los Lagos,10.0,Puerto Montt,10101.0,269398.0,2020-06-12,0.0
Los Lagos,10.0,Puerto Octay,10302.0,9192.0,2020-06-12,0.0
Los Lagos,10.0,Puerto Varas,10109.0,48620.0,2020-06-12,0.0
Los Lagos,10.0,Puqueldon,10206.0,4201.0,2020-06-12,0.0
Los Lagos,10.0,Purranque,10303.0,21080.0,2020-06-12,0.0
Los Lagos,10.0,Puyehue,10304.0,11787.0,2020-06-12,0.0
Los Lagos,10.0,Queilen,10207.0,5543.0,2020-06-12,0.0
Los Lagos,10.0,Quellon,10208.0,29309.0,2020-06-12,0.0
Los Lagos,10.0,Quemchi,10209.0,8783.0,2020-06-12,0.0
Los Lagos,10.0,Quinchao,10210.0,8298.0,2020-06-12,0.0
Los Lagos,10.0,Rio Negro,10305.0,14275.0,2020-06-12,0.0
Los Lagos,10.0,San Juan de la Costa,10306.0,7639.0,2020-06-12,1.0
Los Lagos,10.0,San Pablo,10307.0,10553.0,2020-06-12,1.0
Los Lagos,10.0,Desconocido Los Lagos,,,2020-06-12,
Los Lagos,10.0,Total,,891440.0,2020-06-12,12.0
Aysen,11.0,Aysen,11201.0,25002.0,2020-06-12,0.0
Aysen,11.0,Chile Chico,11401.0,5121.0,2020-06-12,0.0
Aysen,11.0,Cisnes,11202.0,5828.0,2020-06-12,0.0
Aysen,11.0,Cochrane,11301.0,3685.0,2020-06-12,0.0
Aysen,11.0,Coyhaique,11101.0,61210.0,2020-06-12,0.0
Aysen,11.0,Guaitecas,11203.0,1599.0,2020-06-12,0.0
Aysen,11.0,Lago Verde,11102.0,920.0,2020-06-12,0.0
Aysen,11.0,OHiggins,11302.0,661.0,2020-06-12,0.0
Aysen,11.0,Rio Ibanez,11402.0,2699.0,2020-06-12,0.0
